Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
2	196	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	0.0	0.0	0.0	1	98	1	98	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	0.0	0.0	0.0	1	98	1	98	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	0.0	0.0	0.0	1	98	1	98	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	0.0	0.0	0.0	1	98	1	98	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	0.0	0.0	0.0	1	98	1	98	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	0.0	0.0	0.0	1	98	1	98	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
10	632	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	2.0	0.0	196.0	1	98	1	98	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
10	632	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	2.0	0.0	196.0	1	98	0	0	0.0	1.0	0.0	98.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
10	632	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
2	196	0	0	0.0	2.0	0.0	196.0	1	98	0	0	0.0	1.0	0.0	98.0	voice
2	196	1	98	1.0	2.0	98.0	196.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
1	98	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
